event_id,setting,confidence,heuristic_setting,tour,first_date,venue,evidence
c1ef0b15-24d9-4c8a-b44b-4de6c13669ff,outdoor,medium,indoor,MLP,2025-04-24,"USTA (USTA National Campus, Orlando FL) — MLP Orlando 2025-04-24..27","The Dink preview's weather section: 'It's central Florida. In April. Sun, sun, sun... Conditions will be beautiful for the first MLP event of the season' (thedinkpickleball.com/mlp-orlando-event-preview), and the recap praises 'fully resurfaced tennis courts at the USTA National Campus that played very well' — converted outdoor tennis courts. Campus's dedicated pickleball courts are all outdoor (pickleballorlando.com: 0 inside / 4 outside); no source describes indoor play."
0b33f8c1-88ec-49f2-b813-0288236be891,indoor,high,indoor,MLP,2025-05-01,Pickle & Chill (Columbus OH) — MLP Columbus 2025-05-01..04,The Dink recap of THIS event: Ben Johns withdrew citing 'his childhood eye injury that caused problems while playing indoors' plus 'lighting concerns' (thedinkpickleball.com/the-shock-dominate-and-the-johns-bros-call-it-quits-mlp-columbus-recap) — direct confirmation pro play was on Pickle & Chill's indoor courts (facility is 12 indoor + 10 outdoor).
b3850e7f-2ac3-4e98-8d3b-1b644017fd3c,outdoor,high,indoor,MLP,2025-05-23,Austin Pickle Ranch (Austin TX) — MLP Austin 2025-05-23..26,"The Dink MLP Austin 2025 preview: owner Tim Klitch 'built two brand new outdoor courts on the facility to host MLP Austin' — both pro tournament courts outside, even though the facility itself is a 16-indoor-court building (thedinkpickleball.com/mlp-austin-event-preview)."
ecad7b63-e483-4f51-b01f-98012225c8e3,outdoor,high,indoor,MLP,2025-05-29,Arizona Athletic Grounds (Mesa AZ) — MLP Phoenix 2025-05-29..06-01,"The Dink event preview: 'The Championship Court is fully covered but outdoors, the Grandstand Court is outdoors and not covered', with start times pushed to 3pm/5:45pm PT due to Arizona heat (thedinkpickleball.com/edward-jones-mlp-phoenix-event-preview). Caveat for weather work: champ court is roofed (sun/rain shielded, wind partially) while Grandstand is fully exposed."
14f018ab-7212-40cd-b419-491cadd30e41,outdoor,medium,indoor,MLP,2025-06-05,Pictona at Holly Hill (Daytona FL) — MLP Daytona 2025-06-05..08,"The Dink preview treats weather as a live threat: 'The afternoon thunderstorms on Saturday and Sunday are cause for most concern. I am unsure what the alternate plans are' plus high-80s/90s temps slowing the ball (thedinkpickleball.com/mlp-daytona-beach-preview); usseniorpickleball.com's venue page lists the Championship Court among '25 outdoor non-covered courts'. Caveat: Pictona also has 13 covered (roofed open-air) courts incl. 5 at MetroHealth Stadium, so partial roof exposure for some match courts can't be fully excluded — but nothing was indoor."
88884999-e514-4a94-be67-02c48f317faa,outdoor,medium,indoor,MLP,2025-06-26,Lifetime San Clemente (Life Time Rancho San Clemente CA) — MLP San Clemente 2025-06-26..30,"Life Time Rancho San Clemente's pickleball courts are exclusively outdoor (Pickleheads: 8 dedicated outdoor hard courts, no indoor pickleball), and The Dink preview's weather section says 'The weather looks to be absolutely perfect for play this weekend' — the Dink explicitly flags indoor venues as weather-irrelevant, so this framing indicates outdoor play (thedinkpickleball.com/mlp-edward-jones-san-clemente-event-preview)."
dae871eb-7754-4e83-8eef-53b533385f53,outdoor,medium,indoor,MLP,2025-07-03,Sportime Randall's Island (New York NY) — MLP New York 2025-07-03..06,"Sportime's MLP setup is the outdoor stadium court (~4,000 capacity); the 2026 recap notes Sportime 'hosting for the second straight year' and shows outdoor is the default there (a wind gust toppled the 30-ft baseline videoboard in 2026; rain forced a move indoors — i.e., normal play is outside). The 2025 Dink recap (thedinkpickleball.com/mlp-new-york-event-recap) records no weather disruption or indoor move; venue does have 6 indoor pickleball courts, so a same-venue indoor fallback existed but no source says it was used in 2025."
dc18fb1f-c9ca-4b8b-947d-aa1558ff113e,outdoor,high,outdoor,MLP,2025-07-09,Belknap Park (Grand Rapids MI) — Edward Jones MLP Mid-Season Tournament 2025-07-09..13,Belknap Park is an open-air municipal park co-hosting the outdoor Beer City Open; pickleball.com's event guide states the MLP tournament 'will occur on two outdoor competition courts' (pickleball.com/news/mlp-mid-season-tournament-2026-everything-you-need-to-know; same park/setup in 2025). No indoor courts exist at this venue.
fa23709a-f0d8-40ee-a019-0f57c1161dd4,indoor,high,indoor,MLP,2025-07-17,Chaifetz Arena (St. Louis MO) — Marathon MLP St. Louis 2025-07-17..20,"Chaifetz Arena (Saint Louis University basketball arena) hosted 'the largest indoor professional pickleball event ever in St. Louis' and this was billed as MLP's 'first league event hosted in an arena' (firstalert4.com, chaifetzarena.com/events/detail/mlp_saintlouis_1)."
780f5d04-429f-4c9b-a3a8-5d15e4cb16b9,indoor,high,indoor,MLP,2025-07-24,Pickler Universe Carrollton (TX) — Advil MLP Dallas 2025-07-24..27,"Event coverage describes 'four days of high-stakes professional pickleball action in a climate-controlled, fan-first environment' at Pickler Universe, 'Texas' indoor pickleball facility' and home of the Dallas Flash (dallasites101.com event page; localprofile.com)."
65e490e1-7f92-456b-a0d5-e475d66b6239,indoor,high,indoor,MLP,2025-07-31,Picklr Kaysville (UT) — The Picklr MLP Salt Lake City 2025-07-31..08-03,The Picklr Kaysville is a fully indoor Picklr franchise club and event listings describe MLP Salt Lake City as an indoor event at that club (allevents.in listing; thedinkpickleball.com/the-picklr-mlp-salt-lake-city-event-preview).
141fe139-b4d2-4846-ac9f-a36b5dd6db41,outdoor,high,outdoor,MLP,2025-08-15,Barnes Tennis Center (San Diego CA) — Toray MLP Playoffs 2025-08-15..17,"Barnes Tennis Center is an all-outdoor facility — ~24 dedicated outdoor pickleball courts, zero indoor courts (pickleheads.com, barnestenniscenter.com); the Dink Finals preview even compares NYC conditions to the prior weekend's ball speed 'in San Diego', an outdoor-to-outdoor comparison."
